Wavelength[nm],T,,,R% at AOI 45 deg
2600,97.61038,,,2.38962
2599,97.62961,,,2.37039
2598,97.64888,,,2.35112
2597,97.66818,,,2.33182
2596,97.68753,,,2.31247
2595,97.70693,,,2.29307
2594,97.72638,,,2.27362
2593,97.7459,,,2.2541
2592,97.76547,,,2.23453
2591,97.78511,,,2.21489
2590,97.8048,,,2.1952
2589,97.82459,,,2.17541
2588,97.84444,,,2.15556
2587,97.86434,,,2.13566
2586,97.88429,,,2.11571
2585,97.90427,,,2.09573
2584,97.92428,,,2.07572
2583,97.94431,,,2.05569
2582,97.96435,,,2.03565
2581,97.98439,,,2.01561
2580,98.00442,,,1.99558
2579,98.02443,,,1.97557
2578,98.0444,,,1.9556
2577,98.06432,,,1.93568
2576,98.08416,,,1.91584
2575,98.10392,,,1.89608
2574,98.12358,,,1.87642
2573,98.14312,,,1.85688
2572,98.16252,,,1.83748
2571,98.18177,,,1.81823
2570,98.20085,,,1.79915
2569,98.21978,,,1.78022
2568,98.23851,,,1.76149
2567,98.257,,,1.743
2566,98.27526,,,1.72474
2565,98.29325,,,1.70675
2564,98.31096,,,1.68904
2563,98.32838,,,1.67162
2562,98.34548,,,1.65452
2561,98.36225,,,1.63775
2560,98.37868,,,1.62132
2559,98.39471,,,1.60529
2558,98.41036,,,1.58964
2557,98.42563,,,1.57437
2556,98.44049,,,1.55951
2555,98.45494,,,1.54506
2554,98.46897,,,1.53103
2553,98.48256,,,1.51744
2552,98.49571,,,1.50429
2551,98.50841,,,1.49159
2550,98.52064,,,1.47936
2549,98.53241,,,1.46759
2548,98.54371,,,1.45629
2547,98.55454,,,1.44546
2546,98.56489,,,1.43511
2545,98.57476,,,1.42524
2544,98.58416,,,1.41584
2543,98.59308,,,1.40692
2542,98.60152,,,1.39848
2541,98.60949,,,1.39051
2540,98.617,,,1.383
2539,98.62407,,,1.37593
2538,98.63068,,,1.36932
2537,98.63684,,,1.36316
2536,98.64257,,,1.35743
2535,98.64787,,,1.35213
2534,98.65276,,,1.34724
2533,98.65725,,,1.34275
2532,98.66135,,,1.33865
2531,98.66508,,,1.33492
2530,98.66845,,,1.33155
2529,98.67148,,,1.32852
2528,98.67418,,,1.32582
2527,98.67658,,,1.32342
2526,98.67868,,,1.32132
2525,98.68052,,,1.31948
2524,98.68211,,,1.31789
2523,98.68347,,,1.31653
2522,98.68462,,,1.31538
2521,98.68558,,,1.31442
2520,98.68637,,,1.31363
2519,98.69,,,1.31E+00
2518,98.68752,,,1.31248
2517,98.68792,,,1.31208
2516,98.68822,,,1.31178
2515,98.68846,,,1.31154
2514,98.69,,,1.31E+00
2513,98.68879,,,1.31121
2512,98.68893,,,1.31107
2511,98.68907,,,1.31093
2510,98.68923,,,1.31077
2509,98.68943,,,1.31057
2508,98.68969,,,1.31031
2507,98.69,,,1.31E+00
2506,98.69,,,1.31E+00
2505,98.69093,,,1.30907
2504,98.69154,,,1.30846
2503,98.69227,,,1.30773
2502,98.69314,,,1.30686
2501,98.69414,,,1.30586
2500,98.69529,,,1.30471
2499,98.69659,,,1.30341
2498,98.69804,,,1.30196
2497,98.69966,,,1.30034
2496,98.70145,,,1.29855
2495,98.70341,,,1.29659
2494,98.70554,,,1.29446
2493,98.70784,,,1.29216
2492,98.7103,,,1.2897
2491,98.71294,,,1.28706
2490,98.71573,,,1.28427
2489,98.71869,,,1.28131
2488,98.72181,,,1.27819
2487,98.72506,,,1.27494
2486,98.72845,,,1.27155
2485,98.73197,,,1.26803
2484,98.73561,,,1.26439
2483,98.73935,,,1.26065
2482,98.74319,,,1.25681
2481,98.74711,,,1.25289
2480,98.75109,,,1.24891
2479,98.75513,,,1.24487
2478,98.75921,,,1.24079
2477,98.76331,,,1.23669
2476,98.76743,,,1.23257
2475,98.77153,,,1.22847
2474,98.77562,,,1.22438
2473,98.77967,,,1.22033
2472,98.78367,,,1.21633
2471,98.7876,,,1.2124
2470,98.79144,,,1.20856
2469,98.79518,,,1.20482
2468,98.7988,,,1.2012
2467,98.80229,,,1.19771
2466,98.80562,,,1.19438
2465,98.80879,,,1.19121
2464,98.81178,,,1.18822
2463,98.81457,,,1.18543
2462,98.81716,,,1.18284
2461,98.81953,,,1.18047
2460,98.82166,,,1.17834
2459,98.82356,,,1.17644
2458,98.82521,,,1.17479
2457,98.8266,,,1.1734
2456,98.82772,,,1.17228
2455,98.82857,,,1.17143
2454,98.82914,,,1.17086
2453,98.82942,,,1.17058
2452,98.82942,,,1.17058
2451,98.82913,,,1.17087
2450,98.82856,,,1.17144
2449,98.82769,,,1.17231
2448,98.82654,,,1.17346
2447,98.8251,,,1.1749
2446,98.82339,,,1.17661
2445,98.8214,,,1.1786
2444,98.81915,,,1.18085
2443,98.81663,,,1.18337
2442,98.81387,,,1.18613
2441,98.81086,,,1.18914
2440,98.80763,,,1.19237
2439,98.80415,,,1.19585
2438,98.80047,,,1.19953
2437,98.79659,,,1.20341
2436,98.79254,,,1.20746
2435,98.78832,,,1.21168
2434,98.78396,,,1.21604
2433,98.77946,,,1.22054
2432,98.77485,,,1.22515
2431,98.77015,,,1.22985
2430,98.76537,,,1.23463
2429,98.76054,,,1.23946
2428,98.75567,,,1.24433
2427,98.75078,,,1.24922
2426,98.74589,,,1.25411
2425,98.74101,,,1.25899
2424,98.73617,,,1.26383
2423,98.73138,,,1.26862
2422,98.72666,,,1.27334
2421,98.72202,,,1.27798
2420,98.7175,,,1.2825
2419,98.71309,,,1.28691
2418,98.70882,,,1.29118
2417,98.7047,,,1.2953
2416,98.70075,,,1.29925
2415,98.69699,,,1.30301
2414,98.69341,,,1.30659
2413,98.69004,,,1.30996
2412,98.68688,,,1.31312
2411,98.68395,,,1.31605
2410,98.68125,,,1.31875
2409,98.67879,,,1.32121
2408,98.67657,,,1.32343
2407,98.6746,,,1.3254
2406,98.67288,,,1.32712
2405,98.67142,,,1.32858
2404,98.67023,,,1.32977
2403,98.66928,,,1.33072
2402,98.6686,,,1.3314
2401,98.66817,,,1.33183
2400,98.66799,,,1.33201
2399,98.66806,,,1.33194
2398,98.66837,,,1.33163
2397,98.66891,,,1.33109
2396,98.66967,,,1.33033
2395,98.67064,,,1.32936
2394,98.67181,,,1.32819
2393,98.67317,,,1.32683
2392,98.67471,,,1.32529
2391,98.6764,,,1.3236
2390,98.67823,,,1.32177
2389,98.6802,,,1.3198
2388,98.68227,,,1.31773
2387,98.68445,,,1.31555
2386,98.6867,,,1.3133
2385,98.68902,,,1.31098
2384,98.69138,,,1.30862
2383,98.69376,,,1.30624
2382,98.69616,,,1.30384
2381,98.69854,,,1.30146
2380,98.70089,,,1.29911
2379,98.7032,,,1.2968
2378,98.70544,,,1.29456
2377,98.70759,,,1.29241
2376,98.70965,,,1.29035
2375,98.71158,,,1.28842
2374,98.71339,,,1.28661
2373,98.71505,,,1.28495
2372,98.71655,,,1.28345
2371,98.71787,,,1.28213
2370,98.71901,,,1.28099
2369,98.71996,,,1.28004
2368,98.72069,,,1.27931
2367,98.72122,,,1.27878
2366,98.72151,,,1.27849
2365,98.72158,,,1.27842
2364,98.72141,,,1.27859
2363,98.72099,,,1.27901
2362,98.72034,,,1.27966
2361,98.71944,,,1.28056
2360,98.71829,,,1.28171
2359,98.7169,,,1.2831
2358,98.71526,,,1.28474
2357,98.71339,,,1.28661
2356,98.71129,,,1.28871
2355,98.70897,,,1.29103
2354,98.70643,,,1.29357
2353,98.70369,,,1.29631
2352,98.70075,,,1.29925
2351,98.69762,,,1.30238
2350,98.69433,,,1.30567
2349,98.69086,,,1.30914
2348,98.68726,,,1.31274
2347,98.68352,,,1.31648
2346,98.67968,,,1.32032
2345,98.67574,,,1.32426
2344,98.67173,,,1.32827
2343,98.66766,,,1.33234
2342,98.66355,,,1.33645
2341,98.65942,,,1.34058
2340,98.65528,,,1.34472
2339,98.65117,,,1.34883
2338,98.64709,,,1.35291
2337,98.64308,,,1.35692
2336,98.63913,,,1.36087
2335,98.63528,,,1.36472
2334,98.63155,,,1.36845
2333,98.62794,,,1.37206
2332,98.62448,,,1.37552
2331,98.62118,,,1.37882
2330,98.61806,,,1.38194
2329,98.61513,,,1.38487
2328,98.6124,,,1.3876
2327,98.60989,,,1.39011
2326,98.60761,,,1.39239
2325,98.60556,,,1.39444
2324,98.60376,,,1.39624
2323,98.60222,,,1.39778
2322,98.60093,,,1.39907
2321,98.59991,,,1.40009
2320,98.59916,,,1.40084
2319,98.59868,,,1.40132
2318,98.59847,,,1.40153
2317,98.59853,,,1.40147
2316,98.59886,,,1.40114
2315,98.59945,,,1.40055
2314,98.6003,,,1.3997
2313,98.6014,,,1.3986
2312,98.60274,,,1.39726
2311,98.60432,,,1.39568
2310,98.60611,,,1.39389
2309,98.60813,,,1.39187
2308,98.61034,,,1.38966
2307,98.61273,,,1.38727
2306,98.61529,,,1.38471
2305,98.618,,,1.382
2304,98.62085,,,1.37915
2303,98.62381,,,1.37619
2302,98.62687,,,1.37313
2301,98.63001,,,1.36999
2300,98.63321,,,1.36679
2299,98.63645,,,1.36355
2298,98.63971,,,1.36029
2297,98.64298,,,1.35702
2296,98.64622,,,1.35378
2295,98.64943,,,1.35057
2294,98.65258,,,1.34742
2293,98.65566,,,1.34434
2292,98.65864,,,1.34136
2291,98.66151,,,1.33849
2290,98.66425,,,1.33575
2289,98.66684,,,1.33316
2288,98.66927,,,1.33073
2287,98.67152,,,1.32848
2286,98.67357,,,1.32643
2285,98.67543,,,1.32457
2284,98.67707,,,1.32293
2283,98.67849,,,1.32151
2282,98.67968,,,1.32032
2281,98.68063,,,1.31937
2280,98.68134,,,1.31866
2279,98.68182,,,1.31818
2278,98.68204,,,1.31796
2277,98.68202,,,1.31798
2276,98.68175,,,1.31825
2275,98.68123,,,1.31877
2274,98.68048,,,1.31952
2273,98.67949,,,1.32051
2272,98.67827,,,1.32173
2271,98.67683,,,1.32317
2270,98.67519,,,1.32481
2269,98.67334,,,1.32666
2268,98.6713,,,1.3287
2267,98.66909,,,1.33091
2266,98.66673,,,1.33327
2265,98.66422,,,1.33578
2264,98.6616,,,1.3384
2263,98.65886,,,1.34114
2262,98.65604,,,1.34396
2261,98.65315,,,1.34685
2260,98.6502,,,1.3498
2259,98.64723,,,1.35277
2258,98.64425,,,1.35575
2257,98.64127,,,1.35873
2256,98.63832,,,1.36168
2255,98.63542,,,1.36458
2254,98.63258,,,1.36742
2253,98.62983,,,1.37017
2252,98.62718,,,1.37282
2251,98.62465,,,1.37535
2250,98.62226,,,1.37774
2249,98.62002,,,1.37998
2248,98.61795,,,1.38205
2247,98.61607,,,1.38393
2246,98.61438,,,1.38562
2245,98.6129,,,1.3871
2244,98.61164,,,1.38836
2243,98.61061,,,1.38939
2242,98.60981,,,1.39019
2241,98.60925,,,1.39075
2240,98.60893,,,1.39107
2239,98.60886,,,1.39114
2238,98.60903,,,1.39097
2237,98.60945,,,1.39055
2236,98.61012,,,1.38988
2235,98.61103,,,1.38897
2234,98.61217,,,1.38783
2233,98.61354,,,1.38646
2232,98.61514,,,1.38486
2231,98.61694,,,1.38306
2230,98.61895,,,1.38105
2229,98.62114,,,1.37886
2228,98.6235,,,1.3765
2227,98.62602,,,1.37398
2226,98.62868,,,1.37132
2225,98.63147,,,1.36853
2224,98.63437,,,1.36563
2223,98.63737,,,1.36263
2222,98.64044,,,1.35956
2221,98.64356,,,1.35644
2220,98.64672,,,1.35328
2219,98.6499,,,1.3501
2218,98.65307,,,1.34693
2217,98.65621,,,1.34379
2216,98.65931,,,1.34069
2215,98.66234,,,1.33766
2214,98.66528,,,1.33472
2213,98.66812,,,1.33188
2212,98.67083,,,1.32917
2211,98.67341,,,1.32659
2210,98.67583,,,1.32417
2209,98.67809,,,1.32191
2208,98.68017,,,1.31983
2207,98.68206,,,1.31794
2206,98.68374,,,1.31626
2205,98.68521,,,1.31479
2204,98.68647,,,1.31353
2203,98.68749,,,1.31251
2202,98.68828,,,1.31172
2201,98.68884,,,1.31116
2200,98.68916,,,1.31084
2199,98.68923,,,1.31077
2198,98.68906,,,1.31094
2197,98.68865,,,1.31135
2196,98.68803,,,1.31197
2195,98.68718,,,1.31282
2194,98.68612,,,1.31388
2193,98.68486,,,1.31514
2192,98.68341,,,1.31659
2191,98.68178,,,1.31822
2190,98.67999,,,1.32001
2189,98.67806,,,1.32194
2188,98.67599,,,1.32401
2187,98.67381,,,1.32619
2186,98.67152,,,1.32848
2185,98.66916,,,1.33084
2184,98.66673,,,1.33327
2183,98.66426,,,1.33574
2182,98.66177,,,1.33823
2181,98.65927,,,1.34073
2180,98.65679,,,1.34321
2179,98.65434,,,1.34566
2178,98.65195,,,1.34805
2177,98.64963,,,1.35037
2176,98.6474,,,1.3526
2175,98.64528,,,1.35472
2174,98.64328,,,1.35672
2173,98.64142,,,1.35858
2172,98.63971,,,1.36029
2171,98.63817,,,1.36183
2170,98.63682,,,1.36318
2169,98.63565,,,1.36435
2168,98.63468,,,1.36532
2167,98.63392,,,1.36608
2166,98.63337,,,1.36663
2165,98.63304,,,1.36696
2164,98.63294,,,1.36706
2163,98.63305,,,1.36695
2162,98.63338,,,1.36662
2161,98.63393,,,1.36607
2160,98.6347,,,1.3653
2159,98.63567,,,1.36433
2158,98.63685,,,1.36315
2157,98.63822,,,1.36178
2156,98.63977,,,1.36023
2155,98.6415,,,1.3585
2154,98.64339,,,1.35661
2153,98.64542,,,1.35458
2152,98.64759,,,1.35241
2151,98.64987,,,1.35013
2150,98.65225,,,1.34775
2149,98.65471,,,1.34529
2148,98.65724,,,1.34276
2147,98.6598,,,1.3402
2146,98.6624,,,1.3376
2145,98.665,,,1.335
2144,98.66759,,,1.33241
2143,98.67015,,,1.32985
2142,98.67266,,,1.32734
2141,98.67511,,,1.32489
2140,98.67747,,,1.32253
2139,98.67973,,,1.32027
2138,98.68187,,,1.31813
2137,98.68388,,,1.31612
2136,98.68575,,,1.31425
2135,98.68745,,,1.31255
2134,98.68899,,,1.31101
2133,98.69035,,,1.30965
2132,98.69152,,,1.30848
2131,98.6925,,,1.3075
2130,98.69328,,,1.30672
2129,98.69386,,,1.30614
2128,98.69424,,,1.30576
2127,98.69441,,,1.30559
2126,98.69439,,,1.30561
2125,98.69416,,,1.30584
2124,98.69374,,,1.30626
2123,98.69312,,,1.30688
2122,98.69233,,,1.30767
2121,98.69136,,,1.30864
2120,98.69024,,,1.30976
2119,98.68801,,,1.31199
2118,98.68567,,,1.31433
2117,98.68326,,,1.31674
2116,98.68079,,,1.31921
2115,98.67831,,,1.32169
2114,98.67585,,,1.32415
2113,98.67343,,,1.32657
2112,98.67107,,,1.32893
2111,98.66882,,,1.33118
2110,98.66668,,,1.33332
2109,98.66528,,,1.33472
2108,98.66392,,,1.33608
2107,98.6626,,,1.3374
2106,98.66133,,,1.33867
2105,98.66014,,,1.33986
2104,98.65903,,,1.34097
2103,98.658,,,1.342
2102,98.65708,,,1.34292
2101,98.65627,,,1.34373
2100,98.65557,,,1.34443
2099,98.65499,,,1.34501
2098,98.65454,,,1.34546
2097,98.65422,,,1.34578
2096,98.65404,,,1.34596
2095,98.654,,,1.346
2094,98.6541,,,1.3459
2093,98.65435,,,1.34565
2092,98.65473,,,1.34527
2091,98.65526,,,1.34474
2090,98.65593,,,1.34407
2089,98.65674,,,1.34326
2088,98.65767,,,1.34233
2087,98.65873,,,1.34127
2086,98.65991,,,1.34009
2085,98.66119,,,1.33881
2084,98.66257,,,1.33743
2083,98.66404,,,1.33596
2082,98.66559,,,1.33441
2081,98.66721,,,1.33279
2080,98.66888,,,1.33112
2079,98.6706,,,1.3294
2078,98.67235,,,1.32765
2077,98.67411,,,1.32589
2076,98.67588,,,1.32412
2075,98.67764,,,1.32236
2074,98.67938,,,1.32062
2073,98.68109,,,1.31891
2072,98.68275,,,1.31725
2071,98.68435,,,1.31565
2070,98.68588,,,1.31412
2069,98.68733,,,1.31267
2068,98.68868,,,1.31132
2067,98.68994,,,1.31006
2066,98.69108,,,1.30892
2065,98.6921,,,1.3079
2064,98.693,,,1.307
2063,98.69378,,,1.30622
2062,98.69441,,,1.30559
2061,98.69491,,,1.30509
2060,98.69527,,,1.30473
2059,98.6955,,,1.3045
2058,98.69558,,,1.30442
2057,98.69553,,,1.30447
2056,98.69534,,,1.30466
2055,98.69503,,,1.30497
2054,98.69458,,,1.30542
2053,98.69402,,,1.30598
2052,98.69334,,,1.30666
2051,98.69255,,,1.30745
2050,98.69168,,,1.30832
2049,98.69072,,,1.30928
2048,98.68968,,,1.31032
2047,98.68858,,,1.31142
2046,98.68743,,,1.31257
2045,98.68624,,,1.31376
2044,98.68502,,,1.31498
2043,98.68379,,,1.31621
2042,98.68256,,,1.31744
2041,98.68134,,,1.31866
2040,98.68014,,,1.31986
2039,98.67899,,,1.32101
2038,98.67788,,,1.32212
2037,98.67684,,,1.32316
2036,98.67587,,,1.32413
2035,98.67497,,,1.32503
2034,98.67418,,,1.32582
2033,98.67348,,,1.32652
2032,98.67289,,,1.32711
2031,98.67242,,,1.32758
2030,98.67207,,,1.32793
2029,98.67184,,,1.32816
2028,98.67175,,,1.32825
2027,98.67178,,,1.32822
2026,98.67195,,,1.32805
2025,98.67225,,,1.32775
2024,98.67268,,,1.32732
2023,98.67323,,,1.32677
2022,98.6739,,,1.3261
2021,98.67469,,,1.32531
2020,98.67558,,,1.32442
2019,98.67658,,,1.32342
2018,98.67767,,,1.32233
2017,98.67885,,,1.32115
2016,98.68009,,,1.31991
2015,98.6814,,,1.3186
2014,98.68275,,,1.31725
2013,98.68415,,,1.31585
2012,98.68557,,,1.31443
2011,98.687,,,1.313
2010,98.68843,,,1.31157
2009,98.68984,,,1.31016
2008,98.69122,,,1.30878
2007,98.69255,,,1.30745
2006,98.69384,,,1.30616
2005,98.69505,,,1.30495
2004,98.6962,,,1.3038
2003,98.69725,,,1.30275
2002,98.6982,,,1.3018
2001,98.69905,,,1.30095
2000,98.69978,,,1.30022
1999,98.70041,,,1.29959
1998,98.70091,,,1.29909
1997,98.70129,,,1.29871
1996,98.70152,,,1.29848
1995,98.70162,,,1.29838
1994,98.70159,,,1.29841
1993,98.70142,,,1.29858
1992,98.70111,,,1.29889
1991,98.70067,,,1.29933
1990,98.7001,,,1.2999
1989,98.6994,,,1.3006
1988,98.69858,,,1.30142
1987,98.69765,,,1.30235
1986,98.69662,,,1.30338
1985,98.69551,,,1.30449
1984,98.69432,,,1.30568
1983,98.69306,,,1.30694
1982,98.69174,,,1.30826
1981,98.69038,,,1.30962
1980,98.689,,,1.311
1979,98.6876,,,1.3124
1978,98.6862,,,1.3138
1977,98.68481,,,1.31519
1976,98.68343,,,1.31657
1975,98.6821,,,1.3179
1974,98.6808,,,1.3192
1973,98.67957,,,1.32043
1972,98.6784,,,1.3216
1971,98.67731,,,1.32269
1970,98.67631,,,1.32369
1969,98.6754,,,1.3246
1968,98.67459,,,1.32541
1967,98.67389,,,1.32611
1966,98.6733,,,1.3267
1965,98.67282,,,1.32718
1964,98.67246,,,1.32754
